rank,average_score,sa_score,pc_score,joint_pass,caption,generated_video,generated_video_exists,reference_video_url,reference_model,all_reference_video_urls,key
114,4.0,4,4,True,"A kayaker lifts their paddle out of the water, showing the surface tension of the water clinging to the blade.",/home/liuzhirui/model/PhysVid/res/videophy2/video/76e89705ccf876b04a5fc2d5f32b4f877bf5deee2a3066caa79cf1fb7262c166.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_kayaker_lifts_their_paddle_out_of_the_water,_showing_the_surface_tension_of_the_water_clinging_to_the_blade.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_kayaker_lifts_their_paddle_out_of_the_water,_showing_the_surface_tension_of_the_water_clinging_to_the_blade.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_kayaker_lifts_their_paddle_out_of_the_water,_showing_the_surface_tension_of_the_water_clinging_to_the_blade.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_kayaker_lifts_their_paddle_out_of_the_water,_showing_the_surface_tension_of_the_water_clinging_to_the_blade.mp4"", ""https://storage.cdn-luma.com/dream_machine/6d9dbfd0-ebd3-40e5-ace7-f862b97fe069/66da17f2-8459-48be-aecf-58ebb1e32333_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_kayaker_lifts_their_paddle_out_of_the_water,_showing_the_surface_tension_of_the_water_clinging_to_the_blade.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_kayaker_lifts_their_paddle_out_of_the_water__showing_the_surface_tension_of_the_water_clinging_to_the_blade_.mp4""]",76e89705ccf876b04a5fc2d5f32b4f877bf5deee2a3066caa79cf1fb7262c166
115,4.0,4,4,True,"A tiny section of plaster is pulled away from a wall, leaving a small, shallow tear.",/home/liuzhirui/model/PhysVid/res/videophy2/video/770a92227537515514049f370ec2afbadc2796319613d7645fb9cc097114c336.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_tiny_section_of_plaster_is_pulled_away_from_a_wall,_leaving_a_small,_shallow_tear.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_tiny_section_of_plaster_is_pulled_away_from_a_wall,_leaving_a_small,_shallow_tear.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_tiny_section_of_plaster_is_pulled_away_from_a_wall,_leaving_a_small,_shallow_tear.mp4"", ""https://storage.cdn-luma.com/dream_machine/642ccf5f-dff0-481d-8d75-babb60145e50/b761482d-8950-43ff-b6cc-836ffdb0cbe3_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_tiny_section_of_plaster_is_pulled_away_from_a_wall,_leaving_a_small,_shallow_tear.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_tiny_section_of_plaster_is_pulled_away_from_a_wall__leaving_a_small__shallow_tear_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_tiny_section_of_plaster_is_pulled_away_from_a_wall,_leaving_a_small,_shallow_tear.mp4""]",770a92227537515514049f370ec2afbadc2796319613d7645fb9cc097114c336
116,4.0,4,4,True,A person with limited mobility uses an assistive device to tie their shoelaces.,/home/liuzhirui/model/PhysVid/res/videophy2/video/7a9785365176e61419b718d5de1f88e66b0da2cda16d4ef95c3c7fe212baca15.mp4,True,https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_with_limited_mobility_uses_an_assistive_device_to_tie_their_shoelaces.mp4,wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_person_with_limited_mobility_uses_an_assistive_device_to_tie_their_shoelaces.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_with_limited_mobility_uses_an_assistive_device_to_tie_their_shoelaces.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_person_with_limited_mobility_uses_an_assistive_device_to_tie_their_shoelaces.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_person_with_limited_mobility_uses_an_assistive_device_to_tie_their_shoelaces.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_person_with_limited_mobility_uses_an_assistive_device_to_tie_their_shoelaces_.mp4""]",7a9785365176e61419b718d5de1f88e66b0da2cda16d4ef95c3c7fe212baca15
117,4.0,4,4,True,"A person folds a sheet of origami paper into a crane, showing each crease and fold clearly.",/home/liuzhirui/model/PhysVid/res/videophy2/video/7cbfe4ea7f16a8c20adb7d521fb968cf5fe0111eb05cbfc0426aff9069f72dca.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_folds_a_sheet_of_origami_paper_into_a_crane,_showing_each_crease_and_fold_clearly.mp4",wan,"[""https://storage.cdn-luma.com/dream_machine/6cc1981f-176d-477b-b848-4d973dedd388/afc07ced-f0cd-43bd-9696-6151b802417a_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_person_folds_a_sheet_of_origami_paper_into_a_crane,_showing_each_crease_and_fold_clearly.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_person_folds_a_sheet_of_origami_paper_into_a_crane,_showing_each_crease_and_fold_clearly.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_person_folds_a_sheet_of_origami_paper_into_a_crane,_showing_each_crease_and_fold_clearly.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_person_folds_a_sheet_of_origami_paper_into_a_crane__showing_each_crease_and_fold_clearly_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_folds_a_sheet_of_origami_paper_into_a_crane,_showing_each_crease_and_fold_clearly.mp4""]",7cbfe4ea7f16a8c20adb7d521fb968cf5fe0111eb05cbfc0426aff9069f72dca
118,4.0,4,4,True,"A person uses a hairdryer with a diffuser attachment to dry curly hair, creating volume.",/home/liuzhirui/model/PhysVid/res/videophy2/video/7d0a48a933e6b8e1f2fca8a0b08ac7ade4718bc9f4814260b4559531891dce3b.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_uses_a_hairdryer_with_a_diffuser_attachment_to_dry_curly_hair,_creating_volume.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_person_uses_a_hairdryer_with_a_diffuser_attachment_to_dry_curly_hair__creating_volume_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_person_uses_a_hairdryer_with_a_diffuser_attachment_to_dry_curly_hair,_creating_volume.mp4"", ""https://storage.cdn-luma.com/dream_machine/09a2f2c9-f40f-481f-b47c-62bff8bab11e/25d76b66-907b-4a65-ad52-6067fd69b4ed_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_person_uses_a_hairdryer_with_a_diffuser_attachment_to_dry_curly_hair,_creating_volume.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/sora_hard_videophy2/Perfecting+Curly+Hair.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_uses_a_hairdryer_with_a_diffuser_attachment_to_dry_curly_hair,_creating_volume.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_person_uses_a_hairdryer_with_a_diffuser_attachment_to_dry_curly_hair,_creating_volume.mp4""]",7d0a48a933e6b8e1f2fca8a0b08ac7ade4718bc9f4814260b4559531891dce3b
119,4.0,4,4,True,A climber meticulously checks their climbing equipment before beginning their ascent.,/home/liuzhirui/model/PhysVid/res/videophy2/video/81592f154478348186d06493f240abe32e23826a3a9153cf8751bcc58e1f5253.mp4,True,https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_climber_meticulously_checks_their_climbing_equipment_before_beginning_their_ascent.mp4,wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_climber_meticulously_checks_their_climbing_equipment_before_beginning_their_ascent_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_climber_meticulously_checks_their_climbing_equipment_before_beginning_their_ascent.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_climber_meticulously_checks_their_climbing_equipment_before_beginning_their_ascent.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_climber_meticulously_checks_their_climbing_equipment_before_beginning_their_ascent.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_climber_meticulously_checks_their_climbing_equipment_before_beginning_their_ascent.mp4"", ""https://storage.cdn-luma.com/dream_machine/5af4aefb-fc6e-46d0-b0cb-45b2be898c25/1c232029-92a8-4222-a61c-4a5a23d332d6_result.mp4""]",81592f154478348186d06493f240abe32e23826a3a9153cf8751bcc58e1f5253
120,4.0,4,4,True,"A cleaning agent is used on a dirty whiteboard, then wiped with a dry cloth, removing marker.",/home/liuzhirui/model/PhysVid/res/videophy2/video/8341af1f8b8cc65401021bbb32c8af1b5da96eccee2154d9d58f2a52b59d7473.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_cleaning_agent_is_used_on_a_dirty_whiteboard,_then_wiped_with_a_dry_cloth,_removing_marker.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_cleaning_agent_is_used_on_a_dirty_whiteboard,_then_wiped_with_a_dry_cloth,_removing_marker.mp4"", ""https://storage.cdn-luma.com/dream_machine/e951c4ee-d50b-4973-b69c-ec811f4d1ad7/d2b52739-999a-4c99-936b-7f2667aefc87_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_cleaning_agent_is_used_on_a_dirty_whiteboard,_then_wiped_with_a_dry_cloth,_removing_marker.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_cleaning_agent_is_used_on_a_dirty_whiteboard,_then_wiped_with_a_dry_cloth,_removing_marker.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_cleaning_agent_is_used_on_a_dirty_whiteboard__then_wiped_with_a_dry_cloth__removing_marker_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_cleaning_agent_is_used_on_a_dirty_whiteboard,_then_wiped_with_a_dry_cloth,_removing_marker.mp4""]",8341af1f8b8cc65401021bbb32c8af1b5da96eccee2154d9d58f2a52b59d7473
121,4.0,4,4,True,"Close-up showing the process of creating a purl stitch, showing the movement of the yarn and needle.",/home/liuzhirui/model/PhysVid/res/videophy2/video/834884f035135c8c24a446c015cd6ed0a2adc48d93b6420468d9498a6d9f4d0d.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/Close-up_showing_the_process_of_creating_a_purl_stitch,_showing_the_movement_of_the_yarn_and_needle.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/Close-up_showing_the_process_of_creating_a_purl_stitch,_showing_the_movement_of_the_yarn_and_needle.mp4"", ""https://storage.cdn-luma.com/dream_machine/cfefdca2-1dd8-4228-a310-dbd6fc783209/7d047bf4-1638-4182-b9e2-176bf79e4640_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/Close-up_showing_the_process_of_creating_a_purl_stitch,_showing_the_movement_of_the_yarn_and_needle.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/Close_up_showing_the_process_of_creating_a_purl_stitch__showing_the_movement_of_the_yarn_and_needle_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/Close-up_showing_the_process_of_creating_a_purl_stitch,_showing_the_movement_of_the_yarn_and_needle.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/Close-up_showing_the_process_of_creating_a_purl_stitch,_showing_the_movement_of_the_yarn_and_needle.mp4""]",834884f035135c8c24a446c015cd6ed0a2adc48d93b6420468d9498a6d9f4d0d
122,4.0,4,4,True,"A person ties a taut-line hitch in a rope attached to a tent stake, showing the loop's formation and secure placement.",/home/liuzhirui/model/PhysVid/res/videophy2/video/89f610e382aa991a669c145f1c8755c9644377c4b32a114ae935aac4074fb577.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_ties_a_taut-line_hitch_in_a_rope_attached_to_a_tent_stake,_showing_the_loop's_formation_and_secure_placement.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_ties_a_taut-line_hitch_in_a_rope_attached_to_a_tent_stake,_showing_the_loop's_formation_and_secure_placement.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_person_ties_a_taut_line_hitch_in_a_rope_attached_to_a_tent_stake__showing_the_loop_s_formation_and_secure_placement_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_person_ties_a_taut-line_hitch_in_a_rope_attached_to_a_tent_stake,_showing_the_loop's_formation_and_secure_placement.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_person_ties_a_taut-line_hitch_in_a_rope_attached_to_a_tent_stake,_showing_the_loop's_formation_and_secure_placement.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/sora_hard_videophy2/Taut-Line+Hitch+Tutorial.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_person_ties_a_taut-line_hitch_in_a_rope_attached_to_a_tent_stake,_showing_the_loop's_formation_and_secure_placement.mp4""]",89f610e382aa991a669c145f1c8755c9644377c4b32a114ae935aac4074fb577
123,4.0,4,4,True,A wood burning tool is used to carve letters into a wooden plaque.,/home/liuzhirui/model/PhysVid/res/videophy2/video/8fca573ce66935461d9f0d8c4c75037d1d2cbb9c1baf6dc2f6783abd85103167.mp4,True,https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_wood_burning_tool_is_used_to_carve_letters_into_a_wooden_plaque.mp4,wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_wood_burning_tool_is_used_to_carve_letters_into_a_wooden_plaque.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_wood_burning_tool_is_used_to_carve_letters_into_a_wooden_plaque.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_wood_burning_tool_is_used_to_carve_letters_into_a_wooden_plaque_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_wood_burning_tool_is_used_to_carve_letters_into_a_wooden_plaque.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_wood_burning_tool_is_used_to_carve_letters_into_a_wooden_plaque.mp4"", ""https://storage.cdn-luma.com/dream_machine/0b8c8c57-9ca7-4da6-a815-9689a7834cf6/088c173a-a3f1-441f-af43-3b6d43049377_result.mp4""]",8fca573ce66935461d9f0d8c4c75037d1d2cbb9c1baf6dc2f6783abd85103167
124,4.0,4,4,True,"A climber adjusts their climbing harness, securing the straps and buckles.",/home/liuzhirui/model/PhysVid/res/videophy2/video/924f15e6814f8c8c6dc978ca6b80bb11b8db80870c2ac68ea7605b5ca2b9728b.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_climber_adjusts_their_climbing_harness,_securing_the_straps_and_buckles.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_climber_adjusts_their_climbing_harness,_securing_the_straps_and_buckles.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_climber_adjusts_their_climbing_harness,_securing_the_straps_and_buckles.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_climber_adjusts_their_climbing_harness,_securing_the_straps_and_buckles.mp4"", ""https://storage.cdn-luma.com/dream_machine/fbdb3fc4-701d-4da3-9878-28310bb883eb/e05892b7-32cd-4c6a-a141-6de509bac5b2_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_climber_adjusts_their_climbing_harness,_securing_the_straps_and_buckles.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_climber_adjusts_their_climbing_harness__securing_the_straps_and_buckles_.mp4""]",924f15e6814f8c8c6dc978ca6b80bb11b8db80870c2ac68ea7605b5ca2b9728b
125,4.0,4,4,True,A jetski moves quickly through a narrow channel between two rocky outcrops.,/home/liuzhirui/model/PhysVid/res/videophy2/video/96381882156405c052160f8ea900f3321077278ec14ac3836e6a0c4252f0a461.mp4,True,https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_jetski_moves_quickly_through_a_narrow_channel_between_two_rocky_outcrops.mp4,wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_jetski_moves_quickly_through_a_narrow_channel_between_two_rocky_outcrops.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_jetski_moves_quickly_through_a_narrow_channel_between_two_rocky_outcrops.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_jetski_moves_quickly_through_a_narrow_channel_between_two_rocky_outcrops.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_jetski_moves_quickly_through_a_narrow_channel_between_two_rocky_outcrops_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_jetski_moves_quickly_through_a_narrow_channel_between_two_rocky_outcrops.mp4""]",96381882156405c052160f8ea900f3321077278ec14ac3836e6a0c4252f0a461
126,4.0,4,4,True,Slow-motion footage of the precise movements involved in tying a surgeon's knot using shoelaces.,/home/liuzhirui/model/PhysVid/res/videophy2/video/96d6acc08d775b7100343b2a5884f5404b3dca761fec136e6aa089cd86d1821f.mp4,True,https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/Slow-motion_footage_of_the_precise_movements_involved_in_tying_a_surgeon's_knot_using_shoelaces.mp4,wan,"[""https://storage.cdn-luma.com/dream_machine/0723e73a-e1e1-4b83-a4a8-914db558da7d/e6127019-d340-4f58-90bf-acae7f38ecdc_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/Slow-motion_footage_of_the_precise_movements_involved_in_tying_a_surgeon's_knot_using_shoelaces.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/Slow-motion_footage_of_the_precise_movements_involved_in_tying_a_surgeon's_knot_using_shoelaces.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/Slow-motion_footage_of_the_precise_movements_involved_in_tying_a_surgeon's_knot_using_shoelaces.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/Slow_motion_footage_of_the_precise_movements_involved_in_tying_a_surgeon_s_knot_using_shoelaces_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/Slow-motion_footage_of_the_precise_movements_involved_in_tying_a_surgeon's_knot_using_shoelaces.mp4""]",96d6acc08d775b7100343b2a5884f5404b3dca761fec136e6aa089cd86d1821f
127,4.0,4,4,True,"A child uses a small stick to create details in the snowman's face, like dimples.",/home/liuzhirui/model/PhysVid/res/videophy2/video/97c9e93d0dbb9ecd54306a9298ccd2373b381d7e2f46daa9beb85898c6a93766.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_child_uses_a_small_stick_to_create_details_in_the_snowman's_face,_like_dimples.mp4",wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_child_uses_a_small_stick_to_create_details_in_the_snowman_s_face__like_dimples_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_child_uses_a_small_stick_to_create_details_in_the_snowman's_face,_like_dimples.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_child_uses_a_small_stick_to_create_details_in_the_snowman's_face,_like_dimples.mp4"", ""https://storage.cdn-luma.com/dream_machine/c8020c2f-e81e-4442-bedf-102551f5398a/12a183c9-8fbb-4e17-908e-e7a70dcc205d_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_child_uses_a_small_stick_to_create_details_in_the_snowman's_face,_like_dimples.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_child_uses_a_small_stick_to_create_details_in_the_snowman's_face,_like_dimples.mp4""]",97c9e93d0dbb9ecd54306a9298ccd2373b381d7e2f46daa9beb85898c6a93766
128,4.0,4,4,True,Close-up shot of hands threading a large-eyed needle with a brightly colored embroidery floss.,/home/liuzhirui/model/PhysVid/res/videophy2/video/9c1b5d07334a8fc9986b2a74679bd6aa91de2d66f6239a9294e7d3696ddcd4de.mp4,True,https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/Close-up_shot_of_hands_threading_a_large-eyed_needle_with_a_brightly_colored_embroidery_floss.mp4,wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/Close-up_shot_of_hands_threading_a_large-eyed_needle_with_a_brightly_colored_embroidery_floss.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/Close-up_shot_of_hands_threading_a_large-eyed_needle_with_a_brightly_colored_embroidery_floss.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/Close-up_shot_of_hands_threading_a_large-eyed_needle_with_a_brightly_colored_embroidery_floss.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/Close-up_shot_of_hands_threading_a_large-eyed_needle_with_a_brightly_colored_embroidery_floss.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/Close_up_shot_of_hands_threading_a_large_eyed_needle_with_a_brightly_colored_embroidery_floss_.mp4"", ""https://storage.cdn-luma.com/dream_machine/284a9d8f-9f0b-40aa-8c9a-322f1d5f50e3/33180a01-9264-4a88-84ec-c8059dbc1e1d_result.mp4""]",9c1b5d07334a8fc9986b2a74679bd6aa91de2d66f6239a9294e7d3696ddcd4de
129,4.0,4,4,True,A person uses a low heat setting on the hairdryer to gently dry their fine hair.,/home/liuzhirui/model/PhysVid/res/videophy2/video/9fd892fe7c6c7f9cdf25bc56047ae480efd059f1660cb0ab4123048fada7e3ce.mp4,True,https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_uses_a_low_heat_setting_on_the_hairdryer_to_gently_dry_their_fine_hair.mp4,wan,"[""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/A_person_uses_a_low_heat_setting_on_the_hairdryer_to_gently_dry_their_fine_hair_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/A_person_uses_a_low_heat_setting_on_the_hairdryer_to_gently_dry_their_fine_hair.mp4"", ""https://storage.cdn-luma.com/dream_machine/bcc2027d-1389-443b-ab99-ac43d2942f62/99b8fb5c-975e-4d66-9964-f6933651156a_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/A_person_uses_a_low_heat_setting_on_the_hairdryer_to_gently_dry_their_fine_hair.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/A_person_uses_a_low_heat_setting_on_the_hairdryer_to_gently_dry_their_fine_hair.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/A_person_uses_a_low_heat_setting_on_the_hairdryer_to_gently_dry_their_fine_hair.mp4""]",9fd892fe7c6c7f9cdf25bc56047ae480efd059f1660cb0ab4123048fada7e3ce
130,4.0,4,4,True,"An athlete throws a hammer, the rotation of the hammer head clearly visible against the sky.",/home/liuzhirui/model/PhysVid/res/videophy2/video/a7f8ea755f2dea04efe625b415502e49adfa6fe3fd7b267470f428b2f0eb66ce.mp4,True,"https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/An_athlete_throws_a_hammer,_the_rotation_of_the_hammer_head_clearly_visible_against_the_sky.mp4",wan,"[""https://storage.cdn-luma.com/dream_machine/e9f85d1c-b458-43c4-aea5-2c5bc6c31a04/15d74bec-9e76-43bc-b943-ec3e2d571492_result.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/wan_videophy2_test_hard_upsampled/An_athlete_throws_a_hammer,_the_rotation_of_the_hammer_head_clearly_visible_against_the_sky.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/hunyuan_xdit/An_athlete_throws_a_hammer,_the_rotation_of_the_hammer_head_clearly_visible_against_the_sky.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cogvideoX5b_hard_upsampled/An_athlete_throws_a_hammer,_the_rotation_of_the_hammer_head_clearly_visible_against_the_sky.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/videocrafter_videophy2_hard/An_athlete_throws_a_hammer__the_rotation_of_the_hammer_head_clearly_visible_against_the_sky_.mp4"", ""https://videophysics2testvideos.s3.us-east-2.amazonaws.com/cosmos_videophy2_test_challenging/An_athlete_throws_a_hammer,_the_rotation_of_the_hammer_head_clearly_visible_against_the_sky.mp4""]",a7f8ea755f2dea04efe625b415502e49adfa6fe3fd7b267470f428b2f0eb66ce
